"filename", "language", "JavaScript", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\alper\Desktop\expiry\README.md", "Markdown", 0, 226, 0, 0, 91, 317
"c:\Users\alper\Desktop\expiry\expiry\App.js", "JavaScript", 43, 0, 0, 0, 8, 51
"c:\Users\alper\Desktop\expiry\expiry\app.json", "JSON", 0, 0, 33, 0, 1, 34
"c:\Users\alper\Desktop\expiry\expiry\index.js", "JavaScript", 3, 0, 0, 0, 4, 7
"c:\Users\alper\Desktop\expiry\expiry\package-lock.json", "JSON", 0, 0, 11787, 0, 1, 11788
"c:\Users\alper\Desktop\expiry\expiry\package.json", "JSON", 0, 0, 41, 0, 1, 42
"c:\Users\alper\Desktop\expiry\expiry\src\constants\shopWorkflow.js", "JavaScript", 24, 0, 0, 0, 3, 27
"c:\Users\alper\Desktop\expiry\expiry\src\context\AuthContext.js", "JavaScript", 78, 0, 0, 1, 16, 95
"c:\Users\alper\Desktop\expiry\expiry\src\data\menuItems.js", "JavaScript", 44, 0, 0, 0, 0, 44
"c:\Users\alper\Desktop\expiry\expiry\src\events\authEvents.js", "JavaScript", 13, 0, 0, 0, 3, 16
"c:\Users\alper\Desktop\expiry\expiry\src\navigation\AdminStack.js", "JavaScript", 18, 0, 0, 0, 5, 23
"c:\Users\alper\Desktop\expiry\expiry\src\navigation\AppStack.js", "JavaScript", 43, 0, 0, 0, 6, 49
"c:\Users\alper\Desktop\expiry\expiry\src\navigation\AuthStack.js", "JavaScript", 18, 0, 0, 0, 7, 25
"c:\Users\alper\Desktop\expiry\expiry\src\navigation\ShopStack.js", "JavaScript", 23, 0, 0, 0, 2, 25
"c:\Users\alper\Desktop\expiry\expiry\src\navigation\routes.js", "JavaScript", 8, 0, 0, 0, 3, 11
"c:\Users\alper\Desktop\expiry\expiry\src\screens\AdminPanelScreen.js", "JavaScript", 121, 0, 0, 0, 13, 134
"c:\Users\alper\Desktop\expiry\expiry\src\screens\AuditLogsScreen.js", "JavaScript", 188, 0, 0, 0, 27, 215
"c:\Users\alper\Desktop\expiry\expiry\src\screens\BlockedScreen.js", "JavaScript", 15, 0, 0, 0, 3, 18
"c:\Users\alper\Desktop\expiry\expiry\src\screens\EditProfileScreen.js", "JavaScript", 224, 0, 0, 0, 19, 243
"c:\Users\alper\Desktop\expiry\expiry\src\screens\ForgotPasswordScreen.js", "JavaScript", 165, 0, 0, 0, 17, 182
"c:\Users\alper\Desktop\expiry\expiry\src\screens\HomeScreen.js", "JavaScript", 180, 0, 0, 0, 17, 197
"c:\Users\alper\Desktop\expiry\expiry\src\screens\LoginScreen.js", "JavaScript", 182, 0, 0, 0, 15, 197
"c:\Users\alper\Desktop\expiry\expiry\src\screens\NotificationScreen.js", "JavaScript", 236, 0, 0, 0, 25, 261
"c:\Users\alper\Desktop\expiry\expiry\src\screens\PackageDetailScreen.js", "JavaScript", 313, 0, 0, 1, 25, 339
"c:\Users\alper\Desktop\expiry\expiry\src\screens\PaymentScreen.js", "JavaScript", 175, 0, 0, 0, 18, 193
"c:\Users\alper\Desktop\expiry\expiry\src\screens\RateShopScreen.js", "JavaScript", 159, 0, 0, 0, 19, 178
"c:\Users\alper\Desktop\expiry\expiry\src\screens\RegisterScreen.js", "JavaScript", 347, 0, 0, 0, 26, 373
"c:\Users\alper\Desktop\expiry\expiry\src\screens\ResetPasswordScreen.js", "JavaScript", 199, 0, 0, 0, 18, 217
"c:\Users\alper\Desktop\expiry\expiry\src\screens\SettingsScreen.js", "JavaScript", 111, 0, 0, 0, 22, 133
"c:\Users\alper\Desktop\expiry\expiry\src\screens\ShopApplyScreen.js", "JavaScript", 243, 0, 0, 1, 23, 267
"c:\Users\alper\Desktop\expiry\expiry\src\screens\ShopDetailScreen.js", "JavaScript", 254, 0, 0, 2, 24, 280
"c:\Users\alper\Desktop\expiry\expiry\src\screens\ShopListScreen.js", "JavaScript", 224, 0, 0, 1, 24, 249
"c:\Users\alper\Desktop\expiry\expiry\src\screens\ShopOrdersScreen.js", "JavaScript", 230, 0, 0, 2, 31, 263
"c:\Users\alper\Desktop\expiry\expiry\src\screens\ShopPackagesScreen.js", "JavaScript", 691, 0, 0, 3, 56, 750
"c:\Users\alper\Desktop\expiry\expiry\src\screens\ShopPanelScreen.js", "JavaScript", 179, 0, 0, 0, 17, 196
"c:\Users\alper\Desktop\expiry\expiry\src\screens\ShopProductsScreen.js", "JavaScript", 423, 0, 0, 0, 34, 457
"c:\Users\alper\Desktop\expiry\expiry\src\screens\ShopProfileScreen.js", "JavaScript", 303, 0, 0, 0, 28, 331
"c:\Users\alper\Desktop\expiry\expiry\src\screens\ShopScreen.js", "JavaScript", 202, 0, 0, 2, 25, 229
"c:\Users\alper\Desktop\expiry\expiry\src\screens\UserDetailsScreen.js", "JavaScript", 389, 0, 0, 2, 34, 425
"c:\Users\alper\Desktop\expiry\expiry\src\screens\UserListScreen.js", "JavaScript", 268, 0, 0, 2, 28, 298
"c:\Users\alper\Desktop\expiry\expiry\src\screens\UserOrdersScreen.js", "JavaScript", 207, 0, 0, 0, 29, 236
"c:\Users\alper\Desktop\expiry\expiry\src\screens\UserProfileScreen.js", "JavaScript", 366, 0, 0, 1, 26, 393
"c:\Users\alper\Desktop\expiry\expiry\src\screens\WelcomeScreen.js", "JavaScript", 105, 0, 0, 0, 15, 120
"c:\Users\alper\Desktop\expiry\expiry\src\services\api.js", "JavaScript", 212, 0, 0, 8, 53, 273
"c:\Users\alper\Desktop\expiry\expiry\src\styles\colors.js", "JavaScript", 7, 0, 0, 0, 1, 8
"c:\Users\alper\Desktop\expiry\expiry\src\styles\homeStyles.js", "JavaScript", 32, 0, 0, 1, 1, 34
"c:\Users\alper\Desktop\expiry\expiry\src\theme\colors.js", "JavaScript", 12, 0, 0, 1, 0, 13
"c:\Users\alper\Desktop\expiry\expiry\src\utils\errorHandler.js", "JavaScript", 22, 0, 0, 5, 5, 32
"c:\Users\alper\Desktop\expiry\expiry_backend\app.js", "JavaScript", 46, 0, 0, 0, 11, 57
"c:\Users\alper\Desktop\expiry\expiry_backend\config\config.example.json", "JSON", 0, 0, 23, 0, 1, 24
"c:\Users\alper\Desktop\expiry\expiry_backend\controllers\adminController.js", "JavaScript", 94, 0, 0, 2, 20, 116
"c:\Users\alper\Desktop\expiry\expiry_backend\controllers\auditController.js", "JavaScript", 16, 0, 0, 0, 3, 19
"c:\Users\alper\Desktop\expiry\expiry_backend\controllers\notificationController.js", "JavaScript", 33, 0, 0, 0, 4, 37
"c:\Users\alper\Desktop\expiry\expiry_backend\controllers\orderController.js", "JavaScript", 77, 0, 0, 0, 12, 89
"c:\Users\alper\Desktop\expiry\expiry_backend\controllers\packageController.js", "JavaScript", 20, 0, 0, 0, 2, 22
"c:\Users\alper\Desktop\expiry\expiry_backend\controllers\shopController.js", "JavaScript", 68, 0, 0, 0, 9, 77
"c:\Users\alper\Desktop\expiry\expiry_backend\controllers\shopPackageController.js", "JavaScript", 37, 0, 0, 0, 4, 41
"c:\Users\alper\Desktop\expiry\expiry_backend\controllers\shopProductController.js", "JavaScript", 37, 0, 0, 0, 4, 41
"c:\Users\alper\Desktop\expiry\expiry_backend\controllers\userController.js", "JavaScript", 81, 0, 0, 0, 7, 88
"c:\Users\alper\Desktop\expiry\expiry_backend\domain\shopState.js", "JavaScript", 20, 0, 0, 0, 3, 23
"c:\Users\alper\Desktop\expiry\expiry_backend\events\audit.events.js", "JavaScript", 9, 0, 0, 0, 1, 10
"c:\Users\alper\Desktop\expiry\expiry_backend\events\eventBus.js", "JavaScript", 3, 0, 0, 0, 1, 4
"c:\Users\alper\Desktop\expiry\expiry_backend\events\order.events.js", "JavaScript", 7, 0, 0, 0, 1, 8
"c:\Users\alper\Desktop\expiry\expiry_backend\events\shop.events.js", "JavaScript", 4, 0, 0, 0, 1, 5
"c:\Users\alper\Desktop\expiry\expiry_backend\handlers\audit.handler.js", "JavaScript", 93, 0, 0, 0, 7, 100
"c:\Users\alper\Desktop\expiry\expiry_backend\handlers\notification.handler.js", "JavaScript", 120, 0, 0, 8, 19, 147
"c:\Users\alper\Desktop\expiry\expiry_backend\middlewares\auth.js", "JavaScript", 21, 0, 0, 0, 4, 25
"c:\Users\alper\Desktop\expiry\expiry_backend\middlewares\errorHandler.js", "JavaScript", 6, 0, 0, 0, 2, 8
"c:\Users\alper\Desktop\expiry\expiry_backend\middlewares\isAdmin.js", "JavaScript", 6, 0, 0, 0, 0, 6
"c:\Users\alper\Desktop\expiry\expiry_backend\middlewares\onlyMarket.js", "JavaScript", 6, 0, 0, 0, 0, 6
"c:\Users\alper\Desktop\expiry\expiry_backend\middlewares\validate.js", "JavaScript", 13, 0, 0, 0, 1, 14
"c:\Users\alper\Desktop\expiry\expiry_backend\migrations\20250714094245-create-users.js", "JavaScript", 43, 0, 0, 1, 3, 47
"c:\Users\alper\Desktop\expiry\expiry_backend\migrations\20250714094325-create-products.js", "JavaScript", 54, 0, 0, 2, 6, 62
"c:\Users\alper\Desktop\expiry\expiry_backend\migrations\20250714095335-add-deletedAt-to-users.js", "JavaScript", 12, 0, 0, 1, 3, 16
